                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.58266,                0.56277,                 1.0894,                0.89786,                0.81113,                0.92438,                0.78582,                0.41843,                0.36921,                0.98678,               0.005743,               0.005743,               0.005743
                    132,                0.58652,                0.56722,                 1.0938,                0.89752,                  0.805,                0.92316,                 0.7852,                0.41938,                0.37011,                0.98826,                0.00571,                0.00571,                0.00571
                    133,                0.58143,                0.55247,                 1.0817,                0.91763,                0.78773,                0.92374,                0.78859,                0.41857,                 0.3685,                0.98783,               0.005677,               0.005677,               0.005677
                    134,                0.57715,                0.55017,                 1.0827,                0.92101,                0.78484,                0.92305,                0.78823,                0.41757,                0.36768,                0.98704,               0.005644,               0.005644,               0.005644
                    135,                0.57745,                0.55568,                 1.0874,                0.87248,                0.82552,                0.92394,                0.78832,                0.41702,                0.36809,                0.98658,               0.005611,               0.005611,               0.005611
                    136,                0.57233,                0.54544,                 1.0787,                 0.8812,                0.81872,                0.92287,                0.78641,                0.41673,                0.37047,                0.98642,               0.005578,               0.005578,               0.005578
                    137,                0.57693,                0.55826,                 1.0854,                0.89914,                0.80975,                0.91307,                0.77714,                0.41672,                0.37037,                0.98665,               0.005545,               0.005545,               0.005545
                    138,                0.57363,                0.55013,                 1.0776,                0.90604,                0.80732,                0.91523,                0.77715,                0.41701,                0.36869,                0.98663,               0.005512,               0.005512,               0.005512
                    139,                0.57674,                 0.5509,                 1.0848,                0.90194,                0.81108,                 0.9142,                0.78079,                0.41588,                 0.3677,                0.98664,               0.005479,               0.005479,               0.005479
                    140,                0.57739,                 0.5476,                 1.0845,                0.89831,                0.81298,                0.91385,                0.78006,                0.41478,                0.36657,                 0.9857,               0.005446,               0.005446,               0.005446
                    141,                0.57424,                0.54905,                 1.0785,                0.89587,                0.81525,                0.90731,                 0.7761,                0.41303,                0.36544,                0.98452,               0.005413,               0.005413,               0.005413
                    142,                0.57544,                0.54518,                  1.078,                0.89921,                 0.8118,                0.90493,                 0.7718,                0.41292,                0.36502,                0.98467,                0.00538,                0.00538,                0.00538
                    143,                0.56527,                0.52975,                 1.0742,                0.89927,                0.80786,                0.90345,                0.77126,                0.41257,                0.36366,                0.98463,               0.005347,               0.005347,               0.005347
                    144,                0.56643,                0.53789,                 1.0782,                0.89107,                0.81381,                0.90056,                0.76977,                0.41103,                0.36319,                0.98353,               0.005314,               0.005314,               0.005314
                    145,                0.56681,                0.53721,                  1.071,                0.89978,                0.81133,                0.90169,                0.76966,                0.41015,                0.36194,                0.98296,               0.005281,               0.005281,               0.005281
                    146,                0.57003,                0.53627,                 1.0768,                0.90385,                0.80959,                0.90523,                0.77559,                0.40963,                0.36104,                 0.9827,               0.005248,               0.005248,               0.005248
                    147,                0.57241,                0.54002,                 1.0772,                0.90321,                0.80657,                0.91047,                0.78025,                0.40924,                0.36061,                0.98238,               0.005215,               0.005215,               0.005215
                    148,                 0.5606,                0.52147,                 1.0709,                0.90653,                0.80631,                0.91104,                0.78106,                0.40894,                0.36033,                0.98248,               0.005182,               0.005182,               0.005182
                    149,                0.56609,                0.53733,                 1.0803,                0.90588,                0.80783,                0.91166,                0.78067,                0.40882,                0.36016,                0.98228,               0.005149,               0.005149,               0.005149
                    150,                0.56093,                0.52737,                 1.0704,                 0.9012,                0.81355,                0.91181,                0.77987,                0.40838,                0.35938,                0.98173,               0.005116,               0.005116,               0.005116
                    151,                0.56569,                0.52744,                 1.0769,                0.90771,                0.80542,                0.90012,                0.77003,                0.40841,                0.35857,                0.98176,               0.005083,               0.005083,               0.005083
                    152,                 0.5502,                0.52043,                   1.06,                0.90887,                0.80551,                0.90106,                0.77186,                0.40836,                0.35785,                0.98171,                0.00505,                0.00505,                0.00505
                    153,                0.55327,                0.51955,                 1.0618,                0.89801,                0.81194,                0.90378,                0.77549,                0.40791,                0.35789,                0.98135,               0.005017,               0.005017,               0.005017
                    154,                0.55349,                0.51205,                 1.0637,                0.90757,                0.80831,                0.90466,                0.77526,                0.40719,                0.35778,                0.98076,               0.004984,               0.004984,               0.004984
                    155,                0.56151,                0.51579,                 1.0652,                0.91265,                0.80221,                0.91564,                0.78507,                0.40663,                0.35784,                 0.9802,               0.004951,               0.004951,               0.004951
                    156,                0.55956,                0.51911,                 1.0683,                0.90741,                0.80546,                0.91536,                0.78581,                0.40583,                0.35744,                0.97965,               0.004918,               0.004918,               0.004918
                    157,                0.55377,                0.51407,                 1.0634,                0.90828,                 0.8042,                 0.9139,                0.78537,                0.40544,                0.35646,                0.97928,               0.004885,               0.004885,               0.004885
                    158,                0.55092,                 0.5097,                 1.0601,                0.90796,                0.80352,                0.90572,                0.77688,                0.40562,                0.35547,                0.97933,               0.004852,               0.004852,               0.004852
                    159,                0.55352,                0.51793,                 1.0642,                0.90955,                0.80216,                0.90633,                0.77568,                0.40563,                0.35505,                0.97919,               0.004819,               0.004819,               0.004819
